name,code
Amt Wachsenburg,16070028
Amtsberg,14521010
Amtzell,08436006
An der Poststraße,15084012
Andechs,09188117
Anderlingen,03357003
Andernach,07137003
Andervenne,03454001
Andisleben,16068002
Angelbachtal,08226102
Angelburg,06534002
Angelroda,16070003
Anger,09172112
Angermünde,12073008
Angern,15083030
Anhausen,07138002
Ankershagen,13071005
Anklam,13075005
Ankum,03459002
Annaberg-Buchholz,14521020
Annaburg,15091010
Annathaler Wald,09272451
Annweiler am Trifels,07337501
Anröchte,05974004
Anrode,16064073
Ansbach,09561000
Anschau,07137004
Antdorf,09190113
Antrifttal,06535002
Antweiler,07131004
Anzing,09175111
Anzinger Forst,09175451
Apelern,03257002
Apen,03451001
Apenburg-Winterfeld,15081026
Apensen,03359003
Apfeldorf,09181111
Apfeltrach,09778113
Apolda,16071001
Appel,03353001
Appen,01056001
Appenheim,07339001
Appenweier,08317005
Arbach,07233201
Arberg,09571113
Aremberg,07131005
Arendsee (Altmark),15081030
Arenrath,07231003
Arenshausen,16061001
Aresing,09185113
Arft,07137006
Argenbühl,08436094
Argenschwang,07133004
Argenthal,07140003
Arholzen,03255001
Arkebek,01051002
Arlewatt,01054007
Armsheim,07331004
Armstedt,01060003
Armstorf,03352002
Arnbruck,09276113
Arneburg,15090010
Arnis,01059002
Arnsberg,05958004
Arnschwang,09372112
Arnsdorf,14625010
Arnshöfen,07143203
Arnstadt,16070004
Arnstein,09677114
Arnstein,15087031
Arnstorf,09277111
Arpsdorf,01058007
Arrach,09372113
Artern/Unstrut,16065002
Artlenburg,03355003
Arzbach,07141201
Arzberg,09479112
Arzberg,14730010
Arzfeld,07232201
Asbach,07134004
Asbach,07138003
Asbach-Bäumenheim,09779115
Asbach-Sickenberg,16061002
Ascha,09278116
Aschaffenburg,09661000
Aschau a. Inn,09183113
Aschau i. Chiemgau,09187114
Aschbach,07336005
Ascheberg,05558004
Ascheberg (Holstein),01057001
Ascheffel,01058008
Aschenhausen,16066002
Aschersleben,15089015
Aschheim,09184112
Asendorf,03251002
Asendorf,03353002
Aspach,08119087
Asperg,08118003
Aspisheim,07339002
Assamstadt,08128006
Asselfingen,08425011
Aßlar,06532001
Aßling,09175112
Astert,07143204
Attendorn,05966004
Attenhausen,07141003
Attenhofen,09273115
Attenkirchen,09178115
Attenweiler,08426011
Atting,09278117
Atzelgift,07143205
Au,08315003
Au am Rhein,08216002
Au i.d. Hallertau,09178116
Aub,09679114
Aubstadt,09673113
Auderath,07135005
Aue,14521030
Auel,07141004
Auen,07133005
Auengrund,16069058
Auenwald,08119006
Auerbach,09271113
Auerbach,14521040
Auerbach i.d. OPf.,09371113
Auerbach/Vogtl.,14523020
Auetal,03257003
Aufhausen,09375115
Aufseß,09472115
Auggen,08315004
Augsburg,09761000
Augustdorf,05766004
Augustusburg,14522020
Auhagen,03257004
Auhausen,09779117
Aukrug,01058009
Aulendorf,08436008
Aull,07141005
Auma-Weidatal,16076092
Aumühle,01053003
Aura a.d. Saale,09672111
Aura i. Sinngrund,09677116
Aurach,09571114
Aurachtal,09572114
Aurich,03452001
Ausacker,01059103
Ausleben,15083035
Außernzell,09271114
Auufer,01061005
Auw an der Kyll,07232006
Auw bei Prüm,07232202
Auwald,09775451
Aventoft,01054009
Averlak,01051003
Axstedt,03356001
Aying,09184137
Ayl,07235002
Aystetten,09772117
Baabe,13073006
Baar,07137007
Baar (Schwaben),09771176
Baar-Ebenhausen,09186113
Babenhausen,06432002
Babenhausen,09778115
Babensham,09187116
Bach a.d. Donau,09375116
Bacharach,07339003
Bachenberg,07132004
Bachfeld,16072001
Bachhagel,09773112
Bächingen a.d. Brenz,09773113
Backnang,08119008
Bad Abbach,09273116
Bad Aibling,09187117
Bad Alexandersbad,09479111
Bad Arolsen,06635002
Bad Bayersoien,09180113
Bad Bellingen,08336006
Bad Belzig,12069020
Bad Bentheim,03456001
Bad Bergzabern,07337005
Bad Berka,16071003
Bad Berleburg,05970004
Bad Berneck i. Fichtelgebirge,09472116
Bad Bertrich,07135501
Bad Bevensen,03360002
Bad Bibra,15084015
Bad Birnbach,09277113
Bad Blankenburg,16073005
Bad Bocklet,09672112
Bad Bodenteich,03360005
Bad Boll,08117012
Bad Brambach,14523030
Bad Bramstedt,01060004
Bad Breisig,07131006
Bad Brückenau,09672113
Bad Buchau,08426013
Bad Camberg,06533003
Bad Colberg-Heldburg,16069002
Bad Ditzenbach,08117006
Bad Doberan,13072006
Bad Driburg,05762004
Bad Düben,14730020
Bad Dürkheim,07332002
Bad Dürrenberg,15088020
Bad Dürrheim,08326003
Bad Eilsen,03257005
Bad Elster,14523040
Bad Ems,07141006
Bad Emstal,06633006
Bad Endbach,06534003
Bad Endorf,09187128
Bad Essen,03459003
Bad Fallingbostel,03358008
Bad Feilnbach,09187129
Bad Frankenhausen/Kyffhäuser,16065003
Bad Freienwalde (Oder),12064044
Bad Friedrichshall,08125005
Bad Füssing,09275116
Bad Gandersheim,03155001
Bad Gottleuba-Berggießhübel,14628020
Bad Griesbach i. Rottal,09275124
Bad Grönenbach,09778144
Bad Grund (Harz),03156017
Bad Harzburg,03153002
Bad Heilbrunn,09173111
Bad Herrenalb,08235033
